0	1	1	0
0	1	2	0
0	1	3	0
1	0	4	171
1	0	5	31
1	0	6	173
1	0	7	127
0	1	8	0
0	1	12	0
1	0	13	199
0	1	14	0
1	0	15	109
1	0	16	233
0	1	17	0
1	0	18	73
0	1	19	0
1	0	20	237
1	0	21	11
0	1	22	0
1	0	23	141
0	1	24	0
1	0	25	225
0	1	27	0
1	0	28	13
1	0	30	71
1	0	31	93
0	1	32	0
0	1	33	0
0	1	34	0
1	0	35	157
1	0	36	55
0	1	38	0
0	1	40	0
0	1	41	0
1	0	42	107
1	0	43	243
1	0	44	123
0	1	45	0
1	0	46	9
1	0	47	143
1	0	50	221
0	1	51	0
0	1	53	0
1	0	55	61
1	0	56	201
0	1	57	0
0	1	58	0
1	0	59	193
0	1	60	0
1	0	62	129
1	0	63	7
0	1	64	0
1	0	66	177
0	1	67	0
0	1	68	0
1	0	71	103
1	0	74	49
0	1	76	0
1	0	78	115
1	0	79	67
0	1	80	0
0	1	81	0
1	0	82	43
0	1	83	0
0	1	84	0
1	0	85	57
1	0	86	111
0	1	90	0
0	1	91	0
0	1	94	0
1	0	96	51
0	1	100	0
1	0	103	135
1	0	104	139
0	1	105	0
0	1	106	0
0	1	107	0
1	0	108	105
1	0	109	29
1	0	110	69
1	0	112	65
0	1	115	0
0	1	116	0
1	0	117	235
0	1	119	0
0	1	120	0
0	1	124	0
0	1	127	0
1	0	128	133
0	1	131	0
0	1	132	0
1	0	134	179
0	1	135	0
0	1	137	0
1	0	141	53
1	0	142	45
1	0	146	185
1	0	150	189
1	0	152	15
1	0	153	99
0	1	154	0
0	1	156	0
0	1	157	0
0	1	158	0
0	1	159	0
1	0	162	169
0	1	164	0
0	1	165	0
1	0	169	97
0	1	170	0
0	1	171	0
0	1	173	0
1	0	174	219
1	0	175	215
0	1	177	0
0	1	178	0
1	0	179	21
0	1	181	0
0	1	182	0
0	1	185	0
0	1	192	0
1	0	199	155
1	0	200	79
0	1	201	0
0	1	202	0
1	0	204	217
0	1	205	0
1	0	206	91
1	0	208	119
0	1	212	0
0	1	215	0
0	1	218	0
0	1	219	0
0	1	222	0
1	0	223	101
0	1	224	0
1	0	226	167
1	0	227	131
1	0	228	25
1	0	234	137
0	1	235	0
0	1	236	0
0	1	237	0
0	1	238	0
1	0	239	87
0	1	240	0
0	1	241	0
1	0	242	197
0	1	243	0
0	1	245	0
1	0	246	77
1	0	248	207
1	0	249	181
1	0	251	149
0	1	252	0
0	1	254	191
0	1	256	0
0	1	257	0
1	0	258	75
1	0	259	19
1	0	263	63
1	0	264	83
0	1	265	0
0	1	268	0
0	1	271	0
0	1	273	0
0	1	275	0
1	0	276	85
1	0	277	223
1	0	278	183
1	0	279	195
0	1	280	0
1	0	282	35
0	1	284	0
0	1	286	0
0	1	287	0
1	0	289	37
1	0	290	227
1	0	295	27
0	1	296	0
0	1	297	0
1	0	298	47
0	1	299	0
0	1	300	0
0	1	302	0
0	1	304	0
1	0	305	159
0	1	306	0
1	0	307	89
1	0	309	39
0	1	311	0
0	1	312	0
1	0	313	23
1	0	314	211
1	0	315	231
0	1	316	0
0	1	317	0
0	1	318	0
0	1	319	0
0	1	320	0
0	1	323	0
0	1	324	0
0	1	325	0
0	1	327	0
1	0	337	95
0	1	339	213
0	1	344	0
1	0	345	33
0	1	346	0
0	1	348	0
0	1	349	0
0	1	350	0
0	1	351	0
1	0	352	145
0	1	353	0
0	1	360	0
0	1	361	0
0	1	362	0
0	1	363	0
0	1	364	0
1	0	369	229
0	1	371	0
1	0	372	203
1	0	373	81
0	1	374	0
0	1	378	0
0	1	381	0
1	0	382	205
1	0	383	161
1	0	384	165
0	1	385	0
0	1	386	0
0	1	387	0
0	1	388	0
0	1	391	0
0	1	394	0
0	1	395	0
1	0	398	41
0	1	400	0
1	0	406	213
1	0	407	121
0	1	411	0
0	1	413	0
0	1	416	0
1	0	421	163
0	1	423	0
1	0	427	147
0	1	431	0
1	0	432	5
0	1	433	0
0	1	436	0
1	0	438	241
0	1	442	0
0	1	443	0
1	0	445	187
1	0	446	153
1	0	447	3
1	0	448	117
0	1	449	0
0	1	450	0
1	0	455	239
1	0	462	17
0	1	467	0
0	1	470	0
0	1	471	0
1	0	472	175
0	1	473	0
0	1	476	0
0	1	484	177
0	1	486	0
